기온,수도권 순수 기온반응도,수도권 시간 기온반응도,지방권 순수 기온반응도,지방권 시간 기온반응도,수도권 기온반응도,동남권 기온반응도,대경권 기온반응도,충청권 기온반응도,호남권 기온반응도
-3.1,0.91956,-0.08314,0.57132,0.12505,0.21375,0.19963,0.10288,0.19442,0.16731
-3,0.91864,-0.08521,0.57564,0.1187,0.21203,0.1966,0.10126,0.19241,0.16475
-2.9,0.91768,-0.08728,0.57984,0.11243,0.21029,0.19357,0.09966,0.1904,0.16219
-2.8,0.91668,-0.08935,0.58391,0.10623,0.20854,0.19055,0.09806,0.18839,0.15964
-2.7,0.91564,-0.09142,0.58785,0.1001,0.20678,0.18754,0.09647,0.18638,0.15709
-2.6,0.91455,-0.09349,0.59167,0.09404,0.20501,0.18455,0.0949,0.18436,0.15455
-2.5,0.91341,-0.09555,0.59536,0.08805,0.20323,0.18156,0.09333,0.18235,0.15202
-2.4,0.91223,-0.09761,0.59893,0.08214,0.20144,0.17859,0.09176,0.18034,0.14949
-2.3,0.91101,-0.09967,0.60238,0.07629,0.19964,0.17563,0.09021,0.17833,0.14697
-2.2,0.90974,-0.10172,0.6057,0.07052,0.19784,0.17268,0.08867,0.17631,0.14445
-2.1,0.90842,-0.10377,0.6089,0.06483,0.19602,0.16974,0.08714,0.1743,0.14195
-2,0.90705,-0.10581,0.61197,0.0592,0.1942,0.16681,0.08561,0.17229,0.13944
-1.9,0.90564,-0.10785,0.61493,0.05365,0.19236,0.16389,0.0841,0.17028,0.13694
-1.8,0.90418,-0.10988,0.61776,0.04817,0.19052,0.16099,0.08259,0.16827,0.13445
-1.7,0.90266,-0.1119,0.62046,0.04276,0.18867,0.1581,0.08109,0.16626,0.13197
-1.6,0.9011,-0.11392,0.62305,0.03742,0.18682,0.15522,0.0796,0.16425,0.12949
-1.5,0.89949,-0.11593,0.62551,0.03216,0.18496,0.15235,0.07812,0.16224,0.12702
-1.4,0.89783,-0.11794,0.62785,0.02698,0.18309,0.14949,0.07665,0.16023,0.12456
-1.3,0.89612,-0.11993,0.63007,0.02186,0.18121,0.14664,0.07519,0.15823,0.1221
-1.2,0.89435,-0.12192,0.63217,0.01682,0.17933,0.14381,0.07374,0.15622,0.11965
-1.1,0.89254,-0.1239,0.63414,0.01186,0.17744,0.14099,0.0723,0.15421,0.1172
-1,0.89067,-0.12587,0.636,0.00696,0.17555,0.13818,0.07086,0.15221,0.11477
-0.9,0.88875,-0.12783,0.63774,0.00214,0.17365,0.13538,0.06944,0.15021,0.11234
